RPM;TORQUE
1248.317582;8.067092634
1500.007366;6.342496314
1508.578492;4.553380841
1416.509195;3.115445839
1299.28565;1.709395428
896.8980558;1.452775907
670.5466638;1.388299609
628.584974;1.803527822
737.4416259;3.04981244
837.9079488;4.359973376
1047.301234;6.245492592
1147.784297;7.395909162
1407.031617;7.184050785
1515.163431;5.538653634
1469.082993;3.745927193
1368.970524;2.452642115
913.7156297;5.155085032
682.653784;2.486152383
805.9040964;3.744232167
